Oblast,SEX,agecat_wmh,anx,ied,aff,alc,any
Odessa,0,4,2,0,7,1,8
Odessa,1,1,1,1,0,7,7
Odessa,1,2,1,2,0,5,5
Odessa,1,3,3,0,2,3,6
Odessa,1,4,1,0,1,1,1
Poltava,0,1,1,1,3,0,4
Poltava,0,2,1,0,6,0,6
Poltava,0,3,2,0,11,1,12
Poltava,0,4,0,0,11,0,11
Poltava,1,1,1,0,1,1,3
Poltava,1,2,0,0,0,0,0
Poltava,1,3,0,0,1,1,1
Poltava,1,4,0,0,0,0,0
Rivne,0,1,1,0,1,1,3
Rivne,0,2,1,0,1,0,2
Rivne,0,3,2,0,2,0,2
Rivne,0,4,0,0,1,0,1
Rivne,1,1,1,0,0,4,5
Rivne,1,2,0,0,0,1,1
Rivne,1,3,0,0,0,2,2
Rivne,1,4,0,0,0,1,1
Sumy,0,1,0,0,0,0,0
Sumy,0,2,1,0,2,0,3
Sumy,0,3,3,0,3,0,4
Sumy,0,4,0,0,1,0,1
Sumy,1,1,1,1,0,5,5
Sumy,1,2,1,1,0,6,6
Sumy,1,3,0,0,0,2,2
Sumy,1,4,0,0,0,1,1
Ternopil,0,1,0,0,3,0,3
Ternopil,0,2,0,0,2,0,2
Ternopil,0,3,0,1,1,0,1
Ternopil,0,4,2,0,5,0,5
Ternopil,1,1,1,0,0,2,3
Ternopil,1,2,0,0,1,3,4
Ternopil,1,3,0,1,4,1,5
Ternopil,1,4,0,0,1,1,2
Transcarpathia,0,1,1,1,0,0,2
Transcarpathia,0,2,0,0,0,0,0
Transcarpathia,0,3,1,0,2,0,2
Transcarpathia,0,4,1,0,1,0,2
Transcarpathia,1,1,0,1,0,3,3
Transcarpathia,1,2,0,0,0,1,1
Transcarpathia,1,3,0,0,0,0,0
Transcarpathia,1,4,0,0,1,1,2
Vinnytsya,0,1,2,0,1,3,6
Vinnytsya,0,2,1,1,4,0,5
Vinnytsya,0,3,0,0,3,2,5
Vinnytsya,0,4,1,1,2,1,4
Vinnytsya,1,1,0,0,0,4,4
Vinnytsya,1,2,0,0,1,11,11
Vinnytsya,1,3,0,1,0,4,4
Vinnytsya,1,4,0,0,1,0,1
Volyn,0,1,0,1,0,0,1
Volyn,0,2,0,0,2,0,2
Volyn,0,3,0,0,1,0,1
Volyn,0,4,0,0,2,0,2
Volyn,1,1,0,1,0,4,5
Volyn,1,2,0,0,1,4,5
Volyn,1,3,0,0,0,3,3
Volyn,1,4,0,0,0,0,0
Zaporizhzhya,0,1,4,4,14,4,19
Zaporizhzhya,0,2,4,3,9,1,14
Zaporizhzhya,0,3,4,1,7,0,8
Zaporizhzhya,0,4,2,0,10,0,11
Zaporizhzhya,1,1,0,0,5,7,10
Zaporizhzhya,1,2,1,1,1,4,6
Zaporizhzhya,1,3,1,0,6,7,13
Zaporizhzhya,1,4,1,1,1,1,3
Zhytomyr,0,1,3,1,4,0,7
Zhytomyr,0,2,8,1,8,1,12
Zhytomyr,0,3,6,1,11,0,11
Zhytomyr,0,4,3,0,12,0,15
Zhytomyr,1,1,2,2,3,1,5
Zhytomyr,1,2,2,1,2,4,6
Zhytomyr,1,3,1,0,1,0,2
Zhytomyr,1,4,3,2,8,1,8
